index,Value
995,11.38
996,11.76
997,11.76
998,11.38
999,13.27
1000,12.51
1001,11.76
1002,10.24
1003,9.86
1004,11.76
1005,11.0
1006,10.62
1007,9.48
